price,address,date_sold,bedroom,bathroom,carport,dwelling
520000,29/65 Milligan Street,2019-09-02,2,2,2,Apartment
434000,7/137-142 Lake Street,2019-08-31,1,1,1,Apartment
260000,14J/811 Hay Street,2019-08-31,1,1,0,Apartment
329000,75/996 Hay Street,2019-08-30,2,1,1,Apartment
410000,6/296 Newcastle  Street,2019-08-30,2,2,1,Apartment
550000,28/65 Milligan Street,2019-08-28,2,2,2,Apartment
560000,"Lot 35, 807/78 Stirling Street",2019-08-28,2,2,1,Apartment
554000,"Lot 25, 706/78 Stirling Street",2019-08-28,2,2,1,Apartment
400000,18/59 Brewer Street,2019-08-28,2,2,1,Apartment
290000,27/133 Lincoln Street,2019-08-27,2,1,1,House
800000,88/132 Terrace Road,2019-08-27,3,2,2,Apartment
366000,160/369 Hay Street,2019-08-27,2,2,1,Apartment
606000,3/199 Lincoln Street,2019-08-27,3,2,2,Townhouse
425000,21/139-142 Lake Street,2019-08-27,1,1,1,Apartment
635000,18/139-142 Lake Street,2019-08-27,2,2,1,Apartment
407000,Apt 1703/600 Wellington Street,2019-08-21,1,1,0,Apartment
765000,13 Marlborough Street,2019-08-21,3,2,3,House
734000,294 Bulwer Street,2019-08-18,2,1,1,House
230300,14/15 Aberdeen Street,2019-08-16,2,1,1,Apartment
821000,1/63 Palmerston Street,2019-08-16,3,3,2,House
400000,1401/237 Adelaide Terrace,2019-08-15,2,2,1,Apartment
750000,234 Lake Street,2019-08-13,2,1,1,House
406888,140/369 Hay Street,2019-08-13,2,2,1,Apartment
699000,5/69 Murray Street,2019-08-13,3,1,1,Apartment
390000,32/250 Beaufort Street,2019-08-10,2,1,1,Apartment
740000,77 Lindsay Street,2019-08-09,2,1,0,House
492000,Apt 2705/600 Wellington Street,2019-08-08,1,1,1,Apartment
737000,Apt 2706/600 Wellington Street,2019-08-08,2,2,1,Apartment
575000,45/569 Wellington Street,2019-08-07,2,1,1,Apartment
185000,12/4 Bulwer Street,2019-08-06,2,1,0,Apartment
